vederböra	vb_0d_vederböra
abbreviera	vb_1a_beundra
abdikera	vb_1a_beundra
abonnera	vb_1a_beundra
abortera	vb_1a_beundra
abradera	vb_1a_beundra
absolvera	vb_1a_beundra
absorbera	vb_1a_beundra
abstrahera	vb_1a_beundra
accedera	vb_1a_beundra
accelerera	vb_1a_beundra
accentuera	vb_1a_beundra
acceptera	vb_1a_beundra
accessa	vb_1a_beundra
acklimatisera	vb_1a_beundra
ackommodera	vb_1a_beundra
ackompanjera	vb_1a_beundra
ackordera	vb_1a_beundra
ackreditera	vb_1a_beundra
ackumulera	vb_1a_beundra
ackvirera	vb_1a_beundra
adaptera	vb_1a_beundra
addera	vb_1a_beundra
adjungera	vb_1a_beundra
adla	vb_1a_beundra
administrera	vb_1a_beundra
adoptera	vb_1a_beundra
ådra	vb_1a_beundra
adressera	vb_1a_beundra
adsorbera	vb_1a_beundra
aducera	vb_1a_beundra
advocera	vb_1a_beundra
afficiera	vb_1a_beundra
affinera	vb_1a_beundra
affischera	vb_1a_beundra
afrikanisera	vb_1a_beundra
agera	vb_1a_beundra
agglomerera	vb_1a_beundra
agglutinera	vb_1a_beundra
aggravera	vb_1a_beundra
agitera	vb_1a_beundra
agna	vb_1a_beundra
ägna	vb_1a_beundra
ajournera	vb_1a_beundra
aktivera	vb_1a_beundra
aktualisera	vb_1a_beundra
alarmera	vb_1a_beundra
åldersdiskriminera	vb_1a_beundra
alfabetisera	vb_1a_beundra
alienera	vb_1a_beundra
ålla	vb_1a_beundra
allegorisera	vb_1a_beundra
alliera	vb_1a_beundra
allitterera	vb_1a_beundra
allokera	vb_1a_beundra
alludera	vb_1a_beundra
älska	vb_1a_beundra
alternera	vb_1a_beundra
aluminera	vb_1a_beundra
alvluckra	vb_1a_beundra
amalgamera	vb_1a_beundra
ambulera	vb_1a_beundra
amerikanisera	vb_1a_beundra
amma	vb_1a_beundra
ämnesintegrera	vb_1a_beundra
amortera	vb_1a_beundra
amplifiera	vb_1a_beundra
amplitudmodulera	vb_1a_beundra
amputera	vb_1a_beundra
analysera	vb_1a_beundra
anamma	vb_1a_beundra
ana	vb_1a_beundra
ända	vb_1a_beundra
ändra	vb_1a_beundra
anglifiera	vb_1a_beundra
anglisera	vb_1a_beundra
animera	vb_1a_beundra
anklaga	vb_1a_beundra
ankra	vb_1a_beundra
anlita	vb_1a_beundra
anmana	vb_1a_beundra
anmoda	vb_1a_beundra
annektera	vb_1a_beundra
