ange	anger	angav	angett
anse	anser	ansåg	ansett
avgöra	avgör	avgjorde	avgjort
avstå	avstår	avstod	avstått
be	ber	bad	bett
bestå	består	bestod	bestått
bli	blir	blev	blivit
böra	bör	borde	bort
dra	drar	drog	dragit
duga	duger	dög	dugit
dyka	dyker	dök	dykit
dö	dör	dog	dött
dölja	döljer	dolde	dolt
ersätta	ersätter	ersatte	ersatt
fortsätta	fortsätter	fortsatte	fortsatt
framstå	framstår	framstod	framstått
få	får	fick	fått
förevara	-	förevar	förevarit
förstå	förstår	förstod	förstått
förutsätta	förutsätter	förutsatte	förutsatt
ge	ger	gav	gett
glädja	gläder	gladde	glatt
glädjas	gläds	gladdes	glatts
gå	går	gick	gått
göra	gör	gjorde	gjort
ha	har	hade	haft
heta	heter	hette	hetat
ingå	ingår	ingick	ingått
inse	inser	insåg	insett
komma	kommer	kom	kommit
kunna	kan	kunde	kunnat
le	ler	log	lett
leva	lever	levde	levt
ligga	ligger	låg	legat
lägga	lägger	la	lagt
missförstå	missförstår	missförstod	missförstått
måste	måste	måste	måst
se	ser	såg	sett
skilja	skiljer	skilde	skilt
skola	ska	skulle	skolat
slå	slår	slog	slagit
smaksätta	smaksätter	smaksatte	smaksatt
sova	sover	sov	sovit
sprida	sprider	spred	spridit
stinga	stinger	stunge	stungit
stjäla	stjäl	stal	stulit
stå	står	stod	stått
stödja	stöder	stödde	stött
spörja	spörjer	sporde	sport
städja	städer	stadde	statt
tillstädja	tillstäder	tillstadde	tillstatt
svälja	sväljer	svalde	svalt
säga	säger	sa	sagt
sälja	säljer	sålde	sålt
sätta	sätter	satte	satt
svära	svär	svor	svurit
ta	tar	tog	tagit
tillsätta	tillsätter	tillsatte	tillsatt
umgås	umgås	umgicks	umgåtts
uppge	uppger	uppgav	uppgivit
utgå	utgår	utgick	utgått
vara	är	var	varit
varda	varder	varde	vart
veta	vet	visste	vetat
vika	viker	vek	vikt
vilja	vill	ville	velat
välja	väljer	valde	valt
vänja	vänjer	vande	vant
växa	växer	växte	växt
återge	återger	återgav	återgivit
översätta	översätter	översatte	översatt
